Result,Down,FirstDownDistance,PointDifference,EndZoneDistance,Quarter,Minutes,Seconds,Opponent
Run,1,10,0,75,1,15,0,Bears
Pass,2,10,0,75,1,14,33,Bears
Pass,3,10,0,75,1,13,45,Bears
Punt,4,20,0,85,1,13,15,Bears
Pass,1,10,0,88,1,9,39,Bears
Run,2,10,0,88,1,9,33,Bears
Pass,3,10,0,88,1,8,51,Bears
Punt,4,17,0,95,1,8,4,Bears
Pass,1,10,-3,60,1,4,9,Bears
Pass,2,10,-3,60,1,4,7,Bears
Pass,3,5,-3,55,1,3,25,Bears
Punt,4,5,-3,55,1,3,20,Bears
Pass,1,10,-3,74,2,14,43,Bears
Pass,1,10,-3,27,2,14,8,Bears
Pass,2,1,-3,18,2,13,44,Bears
Pass,1,8,-3,8,2,13,15,Bears
Pass,1,10,4,96,2,11,10,Bears
Pass,2,1,4,87,2,10,30,Bears
Run,1,10,4,86,2,9,46,Bears
Run,2,5,4,81,2,9,6,Bears
Pass,3,5,4,81,2,8,20,Bears
Pass,1,10,4,70,2,7,42,Bears
Run,2,5,4,65,2,7,3,Bears
Pass,3,6,4,66,2,6,19,Bears
Punt,4,14,4,74,2,5,37,Bears
Run,1,10,4,65,2,2,7,Bears
Pass,2,7,4,62,2,2,0,Bears
Pass,3,7,4,62,2,1,54,Bears
Pass,1,10,4,52,2,1,27,Bears
Pass,2,4,4,46,2,1,4,Bears
Pass,3,4,4,46,2,1,0,Bears
Punt,4,9,4,51,2,0,55,Bears
Pass,1,10,4,67,2,0,15,Bears
Pass,1,10,4,51,2,0,9,Bears
Run,1,10,4,66,3,13,42,Bears
Pass,2,7,4,63,3,13,17,Bears
Pass,2,17,4,73,3,13,11,Bears
Pass,1,10,4,35,3,13,4,Bears
Pass,2,10,4,35,3,12,59,Bears
Pass,3,5,4,30,3,12,16,Bears
Pass,3,15,4,40,3,11,43,Bears
Punt,4,22,4,47,3,10,58,Bears
Run,1,10,4,58,3,9,1,Bears
Pass,2,10,4,58,3,8,16,Bears
Pass,3,15,4,63,3,7,27,Bears
Punt,4,20,4,68,3,6,43,Bears
Run,1,10,4,70,3,3,54,Bears
Run,2,1,4,61,3,3,18,Bears
Run,1,10,4,55,3,2,31,Bears
Pass,2,8,4,53,3,1,58,Bears
Run,1,10,4,57,3,1,23,Bears
Pass,2,17,4,50,3,0,19,Bears
Pass,3,17,4,50,3,0,12,Bears
Punt,4,17,4,50,4,15,0,Bears
Run,1,10,4,94,4,11,48,Bears
Pass,2,9,4,93,4,11,7,Bears
Run,1,10,4,65,4,10,23,Bears
Pass,2,13,4,68,4,9,15,Bears
Pass,1,10,4,40,4,8,31,Bears
Run,2,10,4,40,4,8,22,Bears
Pass,3,4,4,34,4,8,1,Bears
Run,1,10,4,29,4,7,32,Bears
Run,2,10,4,29,4,6,49,Bears
Run,3,12,4,31,4,6,5,Bears
Field Goal,4,2,4,21,4,5,20,Bears
Run,1,10,10,80,4,1,58,Bears
Pass,2,5,10,75,4,1,53,Bears
Run,3,5,10,75,4,1,50,Bears
Punt,4,3,10,73,4,1,45,Bears
Kneel,1,5,10,5,4,1,2,Bears
Kneel,2,6,10,6,4,0,28,Bears
Pass,1,10,0,75,1,15,0,Vikings
Run,1,10,0,36,1,14,19,Vikings
Run,2,4,0,30,1,13,40,Vikings
Pass,1,10,0,15,1,12,59,Vikings
Pass,1,10,7,63,1,9,16,Vikings
Run,2,4,7,57,1,8,51,Vikings
Pass,3,6,7,59,1,8,12,Vikings
Run,1,10,7,45,1,7,39,Vikings
Run,2,9,7,44,1,6,59,Vikings
Pass,3,5,7,40,1,6,13,Vikings
Run,1,10,7,19,1,5,37,Vikings
Pass,2,10,7,19,1,4,56,Vikings
Pass,3,4,7,13,1,4,9,Vikings
Pass,1,7,7,7,1,3,29,Vikings
Pass,2,12,7,12,1,3,23,Vikings
Pass,1,10,14,33,1,1,16,Vikings
Run,1,10,14,18,1,0,40,Vikings
Pass,2,1,14,9,2,15,0,Vikings
Run,1,2,14,2,2,14,20,Vikings
Run,1,10,14,75,2,14,0,Vikings
Pass,1,10,14,65,2,13,31,Vikings
Run,1,10,14,40,2,13,24,Vikings
Pass,2,6,14,36,2,12,48,Vikings
Run,1,10,14,70,2,11,39,Vikings
Run,2,5,14,65,2,10,57,Vikings
Run,3,1,14,61,2,10,14,Vikings
Punt,4,1,14,61,2,9,36,Vikings
Run,1,10,14,77,2,7,57,Vikings
Pass,2,4,14,71,2,7,16,Vikings
Pass,3,4,14,71,2,7,9,Vikings
Pass,1,15,14,70,2,6,7,Vikings
Pass,2,15,14,70,2,5,59,Vikings
Pass,3,18,14,73,2,5,12,Vikings
Punt,4,18,14,73,2,5,6,Vikings
Pass,1,10,14,47,2,4,4,Vikings
Run,2,5,14,42,2,3,23,Vikings
Run,1,10,14,34,2,2,47,Vikings
